"ReferenceID","LegalName","ReportingYear","FilingType","FilingStatus","MarketType","ProductName","ProposedRateIncrease","FinalRateIncrease","MemberAffected","DateEffective"
"SHHP-129055058","Sharp Health Plan",2013,"Rate Filing","Completed","Small Group","Small Group Rates Effective 8.1.2013","9.6","9.6","5336","08/01/2013"
"KHPI-129039751","Kaiser Foundation Health Plan, Inc.",2013,"New Product Filing","Completed","Individual","KFHP Individual Plan HMO Rates Jan 2014","New Products","New Products","","01/01/2014"
"AETN-129058518","Aetna Health of California Inc.",2013,"New Product Filing","Completed","Small Group","Aetna SG AHI-CA 01012014","New Products","New Products","","01/01/2014"
"SUTT-129116824","Sutter Health Plan",2013,"New Product Filing","Completed","Individual","Individual HMO","New Products","New Products","","01/01/2014"
"SHHP-129133717","Sharp Health Plan",2013,"New Product Filing","Completed","Small Group","SHOP QHP 1.1.2014","New Products","New Products","","01/01/2014"
"CCHP-129135527","Chinese Community Health Plan",2013,"New Product Filing","Completed","Small Group","CCHP 2014 SHOP Exchange QHP and OEX Rates","New Products","New Products","","01/01/2014"
"WNHA-129135105","Western Health Advantage",2013,"New Product Filing","Completed","Small Group","Western Health Advantage - SHOP","New Products","New Products","","01/01/2014"
"KHPI-128993028","Kaiser Foundation Health Plan, Inc.",2013,"New Product Filing","Completed","Small Group","KFHP Small Group HMO Rates 2014","New Products","New Products","","01/01/2014"
"AWLP-129133733","Blue Cross of California",2013,"New Product Filing","Completed","Small Group","DMHC Small Group Off Exchange","New Products","New Products","","01/01/2014"
"HNLH-129144435","Health Net of California, Inc.",2013,"New Product Filing","Completed","Small Group","Small Group Plans","New Products","New Products","","01/01/2014"
"SUTT-129176964","Sutter Health Plan",2013,"New Product Filing","Completed","Small Group","Small Group HMO","New Products","New Products","","01/01/2014"
"BCCA-129183608","California Physicians' Service",2013,"New Product Filing","Completed","Small Group","HBEX QHP Bid 2013 - Small Group Plans and Non-HBEX QHP Bid 2013 Current Small Group Plans","New Products","New Products","","01/01/2014"
"KHPI-129200207","Kaiser Foundation Health Plan, Inc.",2013,"New Product Filing","Completed","Individual","KFHP Individual Plan Off-Exchange HMO Rates Jan 2014","New Products","New Products","","01/01/2014"
"HNLH-129207289","Health Net of California, Inc.",2013,"New Product Filing","Completed","Individual","IFP HMO Off-Exchange Mirror Plans","New Products","New Products","","01/01/2014"
"UHLC-129180321","UHC of California",2013,"New Product Filing","Completed","Small Group","UHG CA HMO 201401-20130901 ","New Products","New Products","","01/01/2014"
"UHLC-129206514","UHC of California",2013,"Rate Filing","Completed","Small Group","UHG CA HMO 201401-20130916 (GF)","8.5","8.5","600","01/01/2014"
"KHPI-129216550","Kaiser Foundation Health Plan, Inc.",2013,"New Product Filing","Completed","Small Group","KFHP Small Group HMO Off-Exchange Rates 2014","New Products","New Products","","01/01/2014"
"GEHP-129212938","GEMCare Health Plan, Inc.",2013,"Rate Filing","Completed","Small Group","GEM","5.9","5.9","2722","12/01/2013"
"GEHP-129221538","GEMCare Health Plan, Inc.",2013,"Rate Filing","Completed","Small Group","PC by GEM","5.9","5.9","107","12/01/2013"
"WNHA-129229217","Western Health Advantage",2013,"New Product Filing","Completed","Individual","Individual Rates-Off Exchange","New Products","New Products","","01/01/2014"
"WNHA-129229323","Western Health Advantage",2013,"New Product Filing","Completed","Small Group","Small Group Off-Exchange Rates","New Products","New Products","","01/01/2014"
"HNLH-129229299","Health Net of California, Inc.",2013,"Rate Filing","Completed","Small Group","Small Business Group Non-Pooled","5.26","5.26","164587","12/01/2013"
"BCCA-129237647","California Physicians' Service",2013,"Rate Filing","Completed","Individual","Access+ Value HMO; PPO Savings 2400; Shield Spectrum Plans-500, 750, 1500, 2000, 5500","13.0","13.0","20362","01/01/2014"
"KHPI-129247728","Kaiser Foundation Health Plan, Inc.",2013,"Rate Filing","Completed","Individual","KFHP Grandfathered Individual Plan HMO Rates Jan 2014","7.0","7.0","141566","01/01/2014"
"KHPI-129265482","Kaiser Foundation Health Plan, Inc.",2013,"Rate Filing","Completed","Small Group","KFHP Small Group POS Rates Jan 2014 ","7.1","7.1","240","01/01/2014"
"KHPI-129254967","Kaiser Foundation Health Plan, Inc.",2013,"Rate Filing","Completed","Small Group","KFHP Grandfathered Small Group HMO Rates Jan 2014","7.1","7.1","159915","01/01/2014"
"SHHP-129276039","Sharp Health Plan",2013,"Rate Filing","Completed","Small Group","1.1.2014 Grandfathered Small Group Plans","8.4","8.4","2035","01/01/2014"
"SHHP-129275901","Sharp Health Plan",2013,"New Product Filing","Completed","Small Group","2014 Small Group Non-Mirrored Plans","New Products","New Products","","01/01/2014"
"GEHP-129274282","GEMCare Health Plan, Inc.",2013,"New Product Filing","Completed","Small Group","2014 Small Group - PC & GEM","New Products","New Products","","01/01/2014"
"MISF-129271291","County of Ventura",2013,"New Product Filing","Completed","Individual","Ventura County Health Care Plan - Individual Doctors and Nurses","New Products","New Products","","01/01/2014"
"MISF-129277302","County of Ventura",2013,"New Product Filing","Completed","Small Group","Ventura County Health Care Plan - Small Group Clinic Employees","New Products","New Products","","01/01/2014"
"WNHA-129277917","Western Health Advantage",2013,"Rate Filing","Completed","Small Group","2Q 2014 Small Group Rates","-12.5","-12.5","9","04/01/2014"
"MISF-129304269","Sistemas Medicos Nacionales, S.A.de C.V.",2013,"New Product Filing","Completed","Small Group","SIMNSA Small Group","New Products","New Products","","01/01/2014"
"AWLP-129314159","Blue Cross of California",2013,"Rate Filing","Not Unreasonable (Modified)","Individual","ABC Grandfathered Plans","9.9","7.2","68,878","04/01/2014"
"AWLP-127973799","Blue Cross of California",2012,"New Product Filing","Completed","Small Group","ACO Rates","New Products","New Products","","04/01/2012"
"AWLP-128015592","Blue Cross of California",2012,"Rate Filing","Completed","Individual","DMHC Grandfathered Plans","12.8","12.8","111,407","05/01/2012"
"AWLP-128015904","Blue Cross of California",2012,"Rate Filing","Completed","Individual","Non-Grandfathered Plans","7.4","7.4","7,939","05/01/2012"
"AETN-128009178","Aetna Health of California Inc.",2012,"Rate Filing","Completed","Small Group","Aetna SG AHI-CA 04012012","3.66","3.66","66658","04/01/2012"
"UHLC-128054098","UHC of California",2012,"New Product Filing","Completed","Small Group","UHG CA HMO 201204 - 20120131","New Products","New Products","","04/01/2012"
"UHLC-128065218","UHC of California",2012,"Rate Filing","Completed","Small Group","UHG CA HMO 201205 - 20120203","6.1","6.1","37145","05/01/2012"
"SCCO-128081995","Santa Clara County",2012,"Annual/Aggregate Filing","Completed","Small Group","Group Health Plan - HMO","N/A","N/A","N/A","2011"
"WNHA-128086920","Western Health Advantage",2012,"Annual/Aggregate Filing","Completed","Small Group","Annual Aggregate Report","N/A","N/A","N/A","2011"
"SHHP-128095781","Sharp Health Plan",2012,"Annual/Aggregate Filing","Completed","Small Group","Aggregate Rate Filing Date Report ","N/A","N/A","N/A","2011"
"SHHP-128095745","Sharp Health Plan",2012,"Annual/Aggregate Filing","Completed","Small Group","CalChoice Aggregate Rate Filing Date Report","N/A","N/A","N/A","2011"
"BCCA-128098359","California Physicians' Service",2012,"Annual/Aggregate Filing","Completed","Small Group","Aggregate Rate Filing Data Report","N/A","N/A","N/A","2011"
